INFO  - 2014-05-09 21:12:51.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-05-09 21:12:51.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2014-05-09 21:12:51.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-05-09 21:12:51.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-05-09 21:12:51.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-05-09 21:12:51.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-05-09 21:12:51.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2014-05-09 21:12:51.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-05-09 21:12:51.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-05-09 21:12:51.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-05-09 21:12:51.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2014-05-09 21:12:51.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-05-09 21:12:51.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/xz-1.2.jar' to classloader
INFO  - 2014-05-09 21:12:51.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-05-09 21:12:51.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-05-09 21:12:51.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-05-09 21:12:51.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-05-09 21:12:51.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-05-09 21:12:51.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-05-09 21:12:51.602; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-05-09 21:12:51.603; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/dist/solr-cell-4.8.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.604; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.604; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-05-09 21:12:51.604; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-05-09 21:12:51.604; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-05-09 21:12:51.605; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.605; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-05-09 21:12:51.605; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-05-09 21:12:51.605; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-05-09 21:12:51.606; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/dist/solr-clustering-4.8.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.607; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-05-09 21:12:51.607; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-05-09 21:12:51.608; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/dist/solr-langid-4.8.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.608; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.608; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-05-09 21:12:51.609; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.609; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-05-09 21:12:51.609; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/denilson/workspace/solr-4.8.0/dist/solr-velocity-4.8.0.jar' to classloader
INFO  - 2014-05-09 21:12:51.724; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-05-09 21:12:51.729; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2014-05-09 21:12:51.859; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-05-09 21:12:51.864; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-05-09 21:12:51.940; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
WARN  - 2014-05-09 21:12:52.019; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-09 21:12:52.023; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-09 21:12:52.057; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-09 21:12:52.063; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-09 21:12:52.067; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-09 21:12:52.446; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2014-05-09 21:12:52.479; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-05-09 21:12:52.491; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-05-09 21:12:52.491; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-05-09 21:12:52.559; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-05-09 21:12:52.566; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-05-09 21:12:52.662; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/denilson/workspace/solr-4.8.0/example/solr/collection1/
INFO  - 2014-05-09 21:12:52.673; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-05-09 21:12:52.695; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/denilson/workspace/solr-4.8.0/example/solr/collection1/, dataDir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/
INFO  - 2014-05-09 21:12:52.697; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-05-09 21:12:52.702; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-05-09 21:12:52.703; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-05-09 21:12:52.716; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/denilson/workspace/solr-4.8.0/example/solr/collection1/data
INFO  - 2014-05-09 21:12:52.719; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index/
WARN  - 2014-05-09 21:12:52.719; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-05-09 21:12:52.725; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index
INFO  - 2014-05-09 21:12:52.765; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-05-09 21:12:52.766; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-05-09 21:12:52.771; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-05-09 21:12:52.772; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-05-09 21:12:52.772; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-05-09 21:12:52.777; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-05-09 21:12:52.777; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-05-09 21:12:52.852; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-05-09 21:12:52.858; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.858; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.860; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-05-09 21:12:52.860; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.863; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-05-09 21:12:52.863; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-05-09 21:12:52.863; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-05-09 21:12:52.863; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-05-09 21:12:52.864; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-05-09 21:12:52.864; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-05-09 21:12:52.864; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-05-09 21:12:52.864; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-05-09 21:12:52.864; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-05-09 21:12:52.866; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-05-09 21:12:52.868; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-05-09 21:12:52.869; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-05-09 21:12:52.877; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-05-09 21:12:52.877; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.877; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.877; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.878; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-05-09 21:12:52.901; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-05-09 21:12:52.902; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-05-09 21:12:52.903; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-05-09 21:12:52.917; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-05-09 21:12:52.917; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-05-09 21:12:52.921; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/denilson/workspace/solr-4.8.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-05-09 21:12:52.921; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-05-09 21:12:52.927; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@525da4fd[collection1] main
INFO  - 2014-05-09 21:12:52.933; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-05-09 21:12:52.933; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf/}
INFO  - 2014-05-09 21:12:52.934; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
WARN  - 2014-05-09 21:12:52.935; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-05-09 21:12:52.935; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-05-09 21:12:52.935; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-05-09 21:12:52.935; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-05-09 21:12:52.939; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-05-09 21:12:52.939; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-05-09 21:12:52.939; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-05-09 21:12:52.940; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-05-09 21:12:52.940; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-05-09 21:12:52.941; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-05-09 21:12:52.941; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-05-09 21:12:52.941; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-05-09 21:12:52.943; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-05-09 21:12:52.943; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-05-09 21:12:52.949; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-05-09 21:12:52.956; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-05-09 21:12:52.957; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-05-09 21:12:52.958; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-05-09 21:12:52.970; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-05-09 21:12:52.971; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/denilson/workspace/solr-4.8.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-05-09 21:12:52.995; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
